1. Âge :,2. Genre :,3. Dans quelle région êtes-vous basé(e) ?,4. Profession : ,5. A quel type d'établissement appartenez-vous ?,6. Niveau déducation  :,7. Votre moyenne l'année précédente :,1. Avez-vous déjà entendu parler de l'intelligence artificielle (IA) ?,2. Comment évalueriez-vous votre niveau de connaissance de l'IA ?,3. Avez-vous suivi une formation ou un cours sur l'IA ?,"1. Êtes-vous satisfait(e) de la qualité de l’enseignement dans votre établissement (lycée, collège ou faculté) ?     ",2. À quel niveau l’IA est-elle utilisée dans votre environnement éducatif ?,"3. Sur une échelle de 1 à 5, pensez-vous que l’IA améliore la qualité de l’éducation?",4. Quels outils d’IA utilisez-vous pour préparer vos cours ou évaluer les élèves ?(Pour Enseignant),5. Comment percevez-vous l’impact de l’IA sur la méthode d’enseignement ? ,"1. Quels avantages voyez-vous dans l’utilisation de l’IA dans l’éducation ?",2. Avez-vous déjà utilisé un outil d’IA pour compléter un projet académique?,"3. Quels risques pensez-vous que l’IA peut apporter dans l’éducation ?",4.  Avez-vous déjà utilisé un outil d’IA pour obtenir des réponses pendant un examen?
18-25 ans,Féminin,Jendouba ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3.3145500216665,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
36-45 ans,Féminin,Tunis,Adminitratif(ve),Public,Universitaire (Licence),11,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,3.58745174836364,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Nabeul ,Étudiant(e),Public,Ingénieurie,14,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4.52827190029108,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Universitaire (Licence),12,Oui,Connaissance avancée,Oui,Oui,Fortement intégrée dans les programmes,4.5410291636071,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Ingénieurie,319,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,4.3713309324211,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Universitaire (Master),10.17,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,3.46187096412558,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Utilisée pour certaines tâches,3.47159119352927,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Meilleure gestion administrative,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Universitaire (Licence),13.22,Oui,Connaissance intermédiaire,Non,Moyennement,Fortement intégrée dans les programmes,4.55673294720448,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
18-25 ans,Féminin,Nabeul ,Étudiant(e),Public,Universitaire (Master),13.44,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3.48718719487573,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Dépendance à la technologie.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Licence),12.8,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,4.50938625677479,Correction automatique.,Positif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
26-35 ans,Masculin,Gafsa,Administratif(ve),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,4.68558951016412,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Remplacement partiel des enseignants.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3.21958718289364,Génération de contenu pédagogique (ex: ChatGPT),Négatif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
18-25 ans,Féminin,Monastir ,Élève,Public,Bac,15,Oui,Connaissance intermédiaire,Non,Non,Utilisée pour certaines tâches,2.14397401050693,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Gabes,Étudiant(e),Public,Universitaire (Master),11,Oui,Connaissance de base,Oui,Non,Fortement intégrée dans les programmes,1.51468999867087,Autre,Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,Remplacement partiel des enseignants.,Oui
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Universitaire (Master),14,Oui,Connaissance intermédiaire,Oui,Non,Fortement intégrée dans les programmes,3.12723963415006,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,10.85,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,4.14264185265762,Correction automatique.,Positif,Accès à des ressources éducatives innovantes,Oui,Dépendance à la technologie.,Non
18-25 ans,Masculin,Bizerte ,Étudiant(e),Public,Universitaire (Master),11,Oui,Connaissance avancée,Oui,Non,Très peu ou pas utilisée,5.7501703770545,Génération de contenu pédagogique (ex: ChatGPT),Négatif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Sfax,Étudiant(e),Public,Doctorat,17.29,Oui,Connaissance avancée,Non,Moyennement,Utilisée pour certaines tâches,1.67848046684628,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Jendouba ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,2.20309530515197,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Universitaire (Master),14,Oui,Connaissance intermédiaire,Oui,Non,Fortement intégrée dans les programmes,4.55816258252136,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Oui,Perte de créativité chez les élèves.,Non
36-45 ans,Féminin,Tunis,Enseignant(e),Public,Universitaire (Licence),11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3.01844200266909,Autre,Positif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Universitaire (Licence),13.22,Oui,Connaissance intermédiaire,Non,Moyennement,Fortement intégrée dans les programmes,4.43221179030775,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Remplacement partiel des enseignants.",Oui
18-25 ans,Féminin,Région su sud,Étudiant(e),Public,Universitaire (Licence),14.87,Non,Connaissance de base,Non,Oui,Très peu ou pas utilisée,4.86432730809885,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Remplacement partiel des enseignants.,Non
18-25 ans,Féminin,Arianna,Étudiant(e),Public,Ingénieurie,13.65,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,3.34516411213259,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Gafsa,Étudiant(e),Public,Ingénieurie,13.20,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,2.93192137253546,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
26-35 ans,Masculin,Gafsa,Administratif(ve),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,4.25298950857152,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Remplacement partiel des enseignants.,Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,13.37,Oui,Connaissance avancée,Oui,Non,Fortement intégrée dans les programmes,5.09578217561219,Génération de contenu pédagogique (ex: ChatGPT),Positif,Meilleure gestion administrative,Oui,Dépendance à la technologie.,Oui
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Universitaire (Licence),12.9,Oui,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,4.13045756249066,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Bizerte ,Étudiant(e),Public,Ingénieurie,11.45,Oui,Connaissance intermédiaire,Non,Moyennement,Très peu ou pas utilisée,5.16891184258928,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Dépendance à la technologie.,Oui
18-25 ans,Masculin,Bizerte ,Étudiant(e),Public,Ingénieurie,11.75,Oui,Connaissance de base,Non,Oui,Utilisée pour certaines tâches,1.07973996434583,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Nabeul ,Étudiant(e),Public,Ingénieurie,14,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3.73435899927977,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Utilisée pour certaines tâches,4.14753693184025,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Meilleure gestion administrative,Oui,Perte de créativité chez les élèves.,Non
12-18 ans,Féminin,Tunis,Élève,Public,Secondaire,14.92,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,4.52610889114708,"Correction automatique., Autre",Positif,Amélioration de l’apprentissage personnalisé.,Oui,Remplacement partiel des enseignants.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Non,Non,Fortement intégrée dans les programmes,4.75281376792152,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Dépendance à la technologie.,Oui
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,14.05,Oui,Connaissance intermédiaire,Oui,Oui,Très peu ou pas utilisée,3.59244955794922,Correction automatique.,Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants",Oui,Dépendance à la technologie.,Non
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,12,Oui,Aucune connaissance,Non,Oui,Très peu ou pas utilisée,5.34991493471041,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Licence),17.6,Oui,Connaissance de base,Oui,Non,Très peu ou pas utilisée,4.4608152584994,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Oui
12-18 ans,Féminin,Tunis ,Élève,Public,Secondaire,15.75,Non,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,4.63313740088603,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Remplacement partiel des enseignants.,Non
18-25 ans,Féminin,Sfax,Étudiant(e),Public,Ingénieurie,Je sais pas,Oui,Connaissance de base,Non,Oui,Très peu ou pas utilisée,5.80764033000852,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Non,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,7,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3.80922009747592,Correction automatique.,Positif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Gafsa,Étudiant(e),Public,Ingénieurie,13.20,Oui,Connaissance de base,Non,Non,Très peu ou pas utilisée,2.2331239010743,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Universitaire (Licence),12,Oui,Connaissance avancée,Oui,Oui,Fortement intégrée dans les programmes,5.9408212229647,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
36-45 ans,Masculin,Arianna,Enseignant(e),Public,Universitaire (maitrise informatique),11,Oui,Connaissance de base,Oui ,Oui,Très peu ou pas utilisée,5.42072074411361,Correction automatique.,Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants",Non,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Nabeul,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,4.91638933808155,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Non,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,13.56,Oui,Connaissance intermédiaire,Oui,Non,Utilisée pour certaines tâches,3.24676521153606,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,Dépendance à la technologie.,Oui
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,15.56,Oui,Connaissance intermédiaire,Non,Non,Utilisée pour certaines tâches,3.83899871565992,Autre,Négatif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Nabeul,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,4.65885031950119,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Non,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
Plus de 45 ans,Féminin,Tunis,Enseignant(e),Public,Secondaire,11,Oui,Aucune connaissance,Non,Non,Très peu ou pas utilisée,2.17882823764509,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Gabes,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Moyennement,Fortement intégrée dans les programmes,4.19665032139951,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Universitaire (Licence),12.9,Oui,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,4.4072809296967,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Oui
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,16.7,Non,Aucune connaissance,Non,Oui,Utilisée pour certaines tâches,2.20996770031934,Autre,Neutre,Amélioration de l’apprentissage personnalisé.,Non,Dépendance à la technologie.,Non
18-25 ans,Féminin,Grand Tunis ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Non,Très peu ou pas utilisée,3.47460880942603,Génération de contenu pédagogique (ex: ChatGPT),Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Gabes,Étudiant(e),Public,Universitaire (Master),11,Oui,Connaissance de base,Oui,Non,Fortement intégrée dans les programmes,1.96871563506264,Autre,Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,Remplacement partiel des enseignants.,Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,13.78,Oui,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,4.78078752894841,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,Remplacement partiel des enseignants.,Oui
12-18 ans,Féminin,Nabeul,Élève,Public,Secondaire,17.58,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,3.83018877812126,Génération de contenu pédagogique (ex: ChatGPT),Positif,Automatisation des tâches répétitives pour les enseignants,Oui,Dépendance à la technologie.,Non
12-18 ans,Féminin,Nabeul ,Élève,Public,Secondaire,14.05,Oui,Connaissance intermédiaire,Oui,Oui,Très peu ou pas utilisée,4.08916102921125,Correction automatique.,Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants",Oui,Dépendance à la technologie.,Non
18-25 ans,Féminin,Nabeul ,Étudiant(e),Public,Ingénieurie,14,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4.00538307068696,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Universitaire (Licence),12:56,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,5.8019232634039,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Gafsa,Étudiant(e),Public,Ingénieurie,14.89,Oui,Connaissance intermédiaire,Oui,Moyennement,Utilisée pour certaines tâches,3.6253920368445,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Non,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,12.2,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4.00032589311457,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Gabes,Étudiant(e),Public,Universitaire (Master),11,Oui,Connaissance de base,Oui,Non,Fortement intégrée dans les programmes,1.56657765850049,Autre,Positif,"Amélioration de l’apprentissage personnalisé., Meilleure gestion administrative",Oui,Remplacement partiel des enseignants.,Oui
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,10,Non,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,3.74516587346208,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Masculin,Tunis,Étudiant(e),Public,Ingénieurie,11 ( 2eme prépa) ,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,4.34908668175926,Génération de contenu pédagogique (ex: ChatGPT),Neutre,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
26-35 ans,Masculin,Gafsa,Administratif(ve),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,4.94711720416106,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Remplacement partiel des enseignants.,Non
18-25 ans,Féminin,nabeul,Étudiant(e),Public,Ingénieurie,10.71,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,3.34732712971435,Autre,Neutre,Accès à des ressources éducatives innovantes,Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
18-25 ans,Féminin,Bizerte ,Étudiant(e),Public,Ingénieurie,11.45,Oui,Connaissance intermédiaire,Non,Moyennement,Très peu ou pas utilisée,5.88172780957195,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Dépendance à la technologie.,Oui
18-25 ans,Féminin,Ben Arous,Étudiant(e),Public,Ingénieurie,319,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,5.81815079237002,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Oui
18-25 ans,Féminin,Mahdia,Étudiant(e),Public,Autre,12:08,Oui,Connaissance de base,Oui,Oui,Utilisée pour certaines tâches,4.55812228420833,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
Plus de 45 ans,Masculin,Tunis,Adminitratif(ve),Public,Universitaire (Licence),11,Non,Aucune connaissance,Oui ,Moyennement,Très peu ou pas utilisée,1.51170375055073,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Universitaire (Licence),13,Oui,Connaissance de base,Oui,Moyennement,Très peu ou pas utilisée,3.26956164724869,Génération de contenu pédagogique (ex: ChatGPT),Neutre,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Perte de créativité chez les élèves., Dépendance à la technologie.",Non
Plus de 45 ans,Masculin,Tunis,Adminitratif(ve),Public,Universitaire (Licence),11,Oui,Aucune connaissance,Non,Non,Utilisée pour certaines tâches,3.53732218058009,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Non,Remplacement partiel des enseignants.,Non
12-18 ans,Féminin,Muslims ,Élève,Public,Secondaire,15.75,Non,Aucune connaissance,Non,Moyennement,Très peu ou pas utilisée,5.25438156223439,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Accès à des ressources éducatives innovantes,Non,Remplacement partiel des enseignants.,Non
Plus de 45 ans,Masculin,Tunis,Adminitratif(ve),Public,Universitaire (Licence),11,Non,Aucune connaissance,Oui ,Moyennement,Très peu ou pas utilisée,1.45035638828734,Génération de contenu pédagogique (ex: ChatGPT),Neutre,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Masculin,Here,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance intermédiaire,Oui,Non,Très peu ou pas utilisée,3.00328431264405,Génération de contenu pédagogique (ex: ChatGPT),Positif,Amélioration de l’apprentissage personnalisé.,Oui,Dépendance à la technologie.,Non
18-25 ans,Féminin,Jendouba ,Étudiant(e),Public,Ingénieurie,11,Oui,Connaissance de base,Oui,Moyennement,Utilisée pour certaines tâches,3.22080805976597,Génération de contenu pédagogique (ex: ChatGPT),Positif,Accès à des ressources éducatives innovantes,Oui,Remplacement partiel des enseignants.,Oui
18-25 ans,Féminin,Manouba,Étudiant(e),Public,Universitaire (Licence),13,Oui,Connaissance intermédiaire,Oui,Non,Très peu ou pas utilisée,4.96544472710178,"Génération de contenu pédagogique (ex: ChatGPT), Autre",Positif,Automatisation des tâches répétitives pour les enseignants,Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Ingénieurie,12.2,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,3.44747012403834,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Positif,"Amélioration de l’apprentissage personnalisé., Accès à des ressources éducatives innovantes",Oui,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Nabeul,Étudiant(e),Public,Ingénieurie,10.6,Oui,Connaissance intermédiaire,Non,Moyennement,Utilisée pour certaines tâches,3.44602954591106,"Correction automatique., Génération de contenu pédagogique (ex: ChatGPT)",Neutre,"Automatisation des tâches répétitives pour les enseignants, Meilleure gestion administrative",Oui,Perte de créativité chez les élèves.,Non
36-45 ans,Féminin,Tunis,Enseignant(e),Public,Universitaire (Licence),11,Oui,Connaissance de base,Non,Moyennement,Très peu ou pas utilisée,2.47002355958434,Autre,Positif,Accès à des ressources éducatives innovantes,Non,Perte de créativité chez les élèves.,Non
18-25 ans,Féminin,Gafsa ,Étudiant(e),Public,Universitaire (Master),13.98,Oui,Connaissance de base,Non,Moyennement,Utilisée pour certaines tâches,2.22642946370816,Correction automatique.,Positif,"Amélioration de l’apprentissage personnalisé., Automatisation des tâches répétitives pour les enseignants, Accès à des ressources éducatives innovantes, Meilleure gestion administrative",Oui,"Dépendance à la technologie., Remplacement partiel des enseignants.",Non
18-25 ans,Féminin,Tunis,Étudiant(e),Public,Doctorat,10.80,Oui,Connaissance de base,Non,Non,Utilisée pour certaines tâches,1.90863096909387,Autre,Négatif,Amélioration de l’apprentissage personnalisé.,Non,Perte de créativité chez les élèves.,Oui
